2024-06-08 23:58:30,218 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:33,306 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:36,465 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:39,282 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:04:31,769 [kappa.csail.mit.edu:1135876] [INFO] {'iter_loss': 0.6119624593853951, 'iter_time': 0.49314597487449646, 'epoch': 0, 'trainer_step': 2300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:04:35,073 [kappa.csail.mit.edu:1135876] [INFO] {'iter_loss': 0.5772618664801121, 'iter_time': 0.4880822391808033, 'epoch': 0, 'trainer_step': 2400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:04:38,378 [kappa.csail.mit.edu:1135876] [INFO] {'iter_loss': 0.6109701505303383, 'iter_time': 0.5061619225144386, 'epoch': 0, 'trainer_step': 2500, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:04:41,687 [kappa.csail.mit.edu:1135876] [INFO] {'iter_loss': 0.6312672847509384, 'iter_time': 0.5128348749876023, 'epoch': 0, 'trainer_step': 2600, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:05:48,359 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.9918277215957642, 'iter_time': 0.4990346571803093, 'epoch': 0, 'trainer_step': 100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:05:51,813 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.7564611101150512, 'iter_time': 0.49970735937356947, 'epoch': 0, 'trainer_step': 200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:05:55,340 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.6660043078660965, 'iter_time': 0.5021112841367722, 'epoch': 0, 'trainer_step': 300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:05:58,801 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.6375360813736916, 'iter_time': 0.49996723502874374, 'epoch': 0, 'trainer_step': 400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:06:02,246 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.6229854702949524, 'iter_time': 0.4990833839774132, 'epoch': 0, 'trainer_step': 500, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:06:05,688 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.6160037901997566, 'iter_time': 0.49525327861309054, 'epoch': 0, 'trainer_step': 600, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
